Department,Process,Sub-Process
Retail Banking,Customer Account Management,Account Opening
Retail Banking,Customer Account Management,KYC
Retail Banking,Customer Account Management,Customer Verification
Retail Banking,Customer Account Management,Account Closure
Retail Banking,Deposits & Savings Management,Fixed Deposits
Retail Banking,Deposits & Savings Management,Recurring Deposits
Retail Banking,Deposits & Savings Management,Interest Calculation
Retail Banking,Deposits & Savings Management,Premature Withdrawal
Retail Banking,Loan Processing & Disbursement,Home Loans
Retail Banking,Loan Processing & Disbursement,Auto Loans
Retail Banking,Loan Processing & Disbursement,Personal Loans
Retail Banking,Loan Processing & Disbursement,Education Loans
Retail Banking,Loan Processing & Disbursement,Loan Documentation
Retail Banking,Loan Processing & Disbursement,Collateral Valuation
Retail Banking,Credit & Debit Card Operations,Card Issuance
Retail Banking,Credit & Debit Card Operations,PIN Generation
Retail Banking,Credit & Debit Card Operations,Card Blocking/Unblocking
Retail Banking,Credit & Debit Card Operations,Limit Adjustment
Retail Banking,ATM & Digital Banking,Internet Banking
Retail Banking,ATM & Digital Banking,Mobile Banking
Retail Banking,ATM & Digital Banking,UPI Transactions
Retail Banking,ATM & Digital Banking,E-wallets
Retail Banking,ATM & Digital Banking,QR Code Payments
Corporate & Institutional Banking,Treasury & Liquidity Management,Cash Flow Forecasting
Corporate & Institutional Banking,Treasury & Liquidity Management,Fund Transfers
Corporate & Institutional Banking,Treasury & Liquidity Management,Liquidity Risk Management
Corporate & Institutional Banking,Trade Finance,Letter of Credit (LC)
Corporate & Institutional Banking,Trade Finance,Bank Guarantees
Corporate & Institutional Banking,Trade Finance,Export/Import Financing
Corporate & Institutional Banking,Trade Finance,Trade Documentation
Corporate & Institutional Banking,Corporate Lending,Term Loans
Corporate & Institutional Banking,Corporate Lending,Working Capital Loans
Corporate & Institutional Banking,Corporate Lending,Syndicated Loans
Corporate & Institutional Banking,Corporate Lending,Revolving Credit Facilities
Corporate & Institutional Banking,Supply Chain & Invoice Financing,Bill Discounting
Corporate & Institutional Banking,Supply Chain & Invoice Financing,Factoring
Corporate & Institutional Banking,Supply Chain & Invoice Financing,Reverse Factoring
Wealth & Asset Management,Mutual Funds & Portfolio Management,Asset Allocation
Wealth & Asset Management,Mutual Funds & Portfolio Management,Investment Advisory
Wealth & Asset Management,Mutual Funds & Portfolio Management,Performance Tracking
Wealth & Asset Management,Mutual Funds & Portfolio Management,Risk Profiling
Wealth & Asset Management,Private Banking,HNI Portfolio Management
Wealth & Asset Management,Private Banking,Estate Planning
Wealth & Asset Management,Private Banking,Family Office Services
Wealth & Asset Management,Custodian & Trustee Services,Securities Holding
Wealth & Asset Management,Custodian & Trustee Services,Fund Accounting
Wealth & Asset Management,Custodian & Trustee Services,Safe Custody
Wealth & Asset Management,Pension & Retirement Planning,NPS
